cost_function, budget_percentage, budget, algorithm, original_seed_count, surviving_seed_count, removed_seed_count, seed_cost, baseline_influenced_nodes, node_removal_percentage, repetition, removed_nodes, remaining_nodes, perturbed_influenced_nodes, remaining_network_influence_percentage, delta_influence, retention_percentage, perturbed_rounds
Degree       ,              10.0,   8924, CGG      ,                1539,                 1523,                 16,      8919,                      2405,                     1.0,          1,            40,            3999,                       2258,                    56.46411602900725  , -147           ,   93.88773388773389 ,               29
Degree       ,              20.0,  17848, CSG-f1   ,                 849,                  839,                 10,     17836,                      1853,                     1.0,          1,            40,            3999,                       1834,                    45.861465366341584 , -19            ,   98.97463572584996 ,                8
Degree       ,              20.0,  17848, CSG-f2   ,                1075,                 1065,                 10,     17802,                      1081,                     1.0,          1,            40,            3999,                       1072,                    26.806701675418854 , -9             ,   99.16743755781684 ,                2
Degree       ,              20.0,  17848, CGG      ,                1982,                 1960,                 22,     17817,                      3467,                     1.0,          1,            40,            3999,                       3310,                    82.77069267316828  , -157           ,   95.47158927026248 ,               37
Random       ,               1.0,    220, CSG-f1   ,                 146,                  144,                  2,       220,                       293,                     1.0,          2,            40,            3999,                        291,                     7.276819204801201 , -2             ,   99.31740614334471 ,                2
Random       ,               1.0,    220, CSG-f2   ,                 140,                  138,                  2,       219,                       224,                     1.0,          2,            40,            3999,                        221,                     5.52638159539885  , -3             ,   98.66071428571429 ,                2
Random       ,               1.0,    220, CGG      ,                 120,                  119,                  1,       220,                       588,                     1.0,          2,            40,            3999,                        579,                    14.47861965491373  , -9             ,   98.46938775510205 ,               13
Random       ,               2.0,    440, CSG-f1   ,                 252,                  249,                  3,       440,                       409,                     1.0,          2,            40,            3999,                        406,                    10.152538134533634 , -3             ,   99.26650366748166 ,                3
Random       ,               2.0,    440, CSG-f2   ,                 244,                  241,                  3,       438,                       366,                     1.0,          2,            40,            3999,                        363,                     9.077269317329332 , -3             ,   99.18032786885246 ,                2
Random       ,               2.0,    440, CGG      ,                 285,                  282,                  3,       440,                       882,                     1.0,          2,            40,            3999,                        863,                    21.580395098774694 , -19            ,   97.84580498866214 ,               13
Random       ,               5.0,   1100, CSG-f1   ,                 487,                  483,                  4,      1099,                      1354,                     1.0,          2,            40,            3999,                       1360,                    34.00850212553138  , 6              ,  100.44313146233384 ,               17
Random       ,               5.0,   1100, CSG-f2   ,                 533,                  528,                  5,      1099,                      1553,                     1.0,          2,            40,            3999,                       1542,                    38.55963990997749  , -11            ,   99.29169349645846 ,               25
Random       ,               5.0,   1100, CGG      ,                 619,                  614,                  5,      1099,                      2519,                     1.0,          2,            40,            3999,                       2023,                    50.58764691172794  , -496           ,   80.30964668519253 ,               43
Random       ,              10.0,   2201, CSG-f1   ,                 869,                  864,                  5,      2196,                      2883,                     1.0,          2,            40,            3999,                       2944,                    73.61840460115029  , 61             ,  102.11585154353105 ,               23
Random       ,              10.0,   2201, CSG-f2   ,                 979,                  973,                  6,      2201,                      3095,                     1.0,          2,            40,            3999,                       3064,                    76.61915478869717  , -31            ,   98.9983844911147  ,               16
Random       ,              10.0,   2201, CGG      ,                 926,                  919,                  7,      2011,                      4039,                     1.0,          2,            40,            3999,                       3324,                    83.12078019504877  , -715           ,   82.29759841544937 ,               47
Random       ,              20.0,   4402, CSG-f1   ,                1495,                 1485,                 10,      4399,                      4012,                     1.0,          2,            40,            3999,                       3969,                    99.24981245311328  , -43            ,   98.92821535393819 ,                6
Random       ,              20.0,   4402, CSG-f2   ,                1620,                 1610,                 10,      4399,                      3963,                     1.0,          2,            40,            3999,                       3915,                    97.89947486871718  , -48            ,   98.7887963663891  ,                5
Random       ,              20.0,   4402, CGG      ,                 926,                  919,                  7,      2011,                      4039,                     1.0,          2,            40,            3999,                       3324,                    83.12078019504877  , -715           ,   82.29759841544937 ,               47
Degree       ,               1.0,    892, CSG-f1   ,                 117,                  116,                  1,       888,                       158,                     1.0,          2,            40,            3999,                        156,                     3.900975243810953 , -2             ,   98.73417721518987 ,                6
Degree       ,               1.0,    892, CSG-f2   ,                 209,                  202,                  7,       888,                       211,                     1.0,          2,            40,            3999,                        204,                     5.101275318829708 , -7             ,   96.6824644549763  ,                1
Degree       ,               1.0,    892, CGG      ,                 442,                  432,                 10,       891,                       555,                     1.0,          2,            40,            3999,                        540,                    13.50337584396099  , -15            ,   97.2972972972973  ,               14
Degree       ,               2.0,   1784, CSG-f1   ,                 177,                  176,                  1,      1766,                       368,                     1.0,          2,            40,            3999,                        364,                     9.102275568892223 , -4             ,   98.91304347826086 ,                6
Degree       ,               2.0,   1784, CSG-f2   ,                 261,                  254,                  7,      1781,                       264,                     1.0,          2,            40,            3999,                        257,                     6.426606651662915 , -7             ,   97.34848484848484 ,                1
Degree       ,               2.0,   1784, CGG      ,                 668,                  653,                 15,      1783,                       899,                     1.0,          2,            40,            3999,                        854,                    21.355338834708675 , -45            ,   94.9944382647386  ,               14
Degree       ,               5.0,   4462, CSG-f1   ,                 287,                  286,                  1,      4462,                       480,                     1.0,          2,            40,            3999,                        476,                    11.902975743935984 , -4             ,   99.16666666666667 ,                6
Degree       ,               5.0,   4462, CSG-f2   ,                 408,                  399,                  9,      4426,                       412,                     1.0,          2,            40,            3999,                        403,                    10.077519379844961 , -9             ,   97.81553398058253 ,                2
Degree       ,               5.0,   4462, CGG      ,                1100,                 1077,                 23,      4456,                      1411,                     1.0,          2,            40,            3999,                       1361,                    34.03350837709427  , -50            ,   96.45641389085755 ,               14
Degree       ,              10.0,   8924, CSG-f1   ,                 448,                  445,                  3,      8910,                       650,                     1.0,          2,            40,            3999,                        644,                    16.104026006501627 , -6             ,   99.07692307692308 ,                6
Degree       ,              10.0,   8924, CSG-f2   ,                 613,                  601,                 12,      8915,                       617,                     1.0,          2,            40,            3999,                        605,                    15.128782195548887 , -12            ,   98.05510534846029 ,                2
Degree       ,              10.0,   8924, CGG      ,                1539,                 1512,                 27,      8919,                      2405,                     1.0,          2,            40,            3999,                       2326,                    58.16454113528382  , -79            ,   96.71517671517672 ,               30
Degree       ,              20.0,  17848, CSG-f1   ,                 849,                  844,                  5,     17836,                      1853,                     1.0,          2,            40,            3999,                       1838,                    45.96149037259315  , -15            ,   99.19050188882893 ,                7
Degree       ,              20.0,  17848, CSG-f2   ,                1075,                 1056,                 19,     17802,                      1081,                     1.0,          2,            40,            3999,                       1062,                    26.556639159789945 , -19            ,   98.24236817761333 ,                2
Degree       ,              20.0,  17848, CGG      ,                1982,                 1953,                 29,     17817,                      3467,                     1.0,          2,            40,            3999,                       3290,                    82.27056764191047  , -177           ,   94.89472166137871 ,               37
Random       ,               1.0,    220, CSG-f1   ,                 146,                  144,                  2,       220,                       293,                     1.0,          3,            40,            3999,                        291,                     7.276819204801201 , -2             ,   99.31740614334471 ,                2
Random       ,               1.0,    220, CSG-f2   ,                 140,                  138,                  2,       219,                       224,                     1.0,          3,            40,            3999,                        222,                     5.55138784696174  , -2             ,   99.10714285714286 ,                2
Random       ,               1.0,    220, CGG      ,                 120,                  117,                  3,       220,                       588,                     1.0,          3,            40,            3999,                        581,                    14.528632158039509 , -7             ,   98.80952380952381 ,               11
Random       ,               2.0,    440, CSG-f1   ,                 252,                  248,                  4,       440,                       409,                     1.0,          3,            40,            3999,                        408,                    10.202550637659416 , -1             ,   99.75550122249389 ,                3
Random       ,               2.0,    440, CSG-f2   ,                 244,                  240,                  4,       438,                       366,                     1.0,          3,            40,            3999,                        363,                     9.077269317329332 , -3             ,   99.18032786885246 ,                2
