cost_function, budget_percentage, budget, algorithm, original_seed_count, surviving_seed_count, removed_seed_count, seed_cost, baseline_influenced_nodes, node_removal_percentage, repetition, removed_nodes, remaining_nodes, perturbed_influenced_nodes, remaining_network_influence_percentage, delta_influence, retention_percentage, perturbed_rounds
Degree       ,              10.0,   8924, CSG-f1   ,                 448,                  447,                  1,      8910,                       650,                     1.0,         17,            40,            3999,                        647,                    16.179044761190298 , -3             ,   99.53846153846155 ,                6
Degree       ,              10.0,   8924, CSG-f2   ,                 613,                  609,                  4,      8915,                       617,                     1.0,         17,            40,            3999,                        614,                    15.353838459614904 , -3             ,   99.51377633711506 ,                2
Degree       ,              10.0,   8924, CGG      ,                1539,                 1525,                 14,      8919,                      2405,                     1.0,         17,            40,            3999,                       2209,                    55.238809702425606 , -196           ,   91.85031185031185 ,               19
Degree       ,              20.0,  17848, CSG-f1   ,                 849,                  844,                  5,     17836,                      1853,                     1.0,         17,            40,            3999,                       1837,                    45.936484121030254 , -16            ,   99.13653534808418 ,                7
Degree       ,              20.0,  17848, CSG-f2   ,                1075,                 1065,                 10,     17802,                      1081,                     1.0,         17,            40,            3999,                       1072,                    26.806701675418854 , -9             ,   99.16743755781684 ,                2
Degree       ,              20.0,  17848, CGG      ,                1982,                 1964,                 18,     17817,                      3467,                     1.0,         17,            40,            3999,                       3404,                    85.12128032008002  , -63            ,   98.18286703201615 ,               35
Random       ,               1.0,    220, CSG-f1   ,                 146,                  145,                  1,       220,                       293,                     1.0,         18,            40,            3999,                        289,                     7.226806701675419 , -4             ,   98.63481228668942 ,                2
Random       ,               1.0,    220, CSG-f2   ,                 140,                  140,                  0,       219,                       224,                     1.0,         18,            40,            3999,                        223,                     5.576394098524632 , -1             ,   99.55357142857143 ,                2
Random       ,               1.0,    220, CGG      ,                 120,                  120,                  0,       220,                       588,                     1.0,         18,            40,            3999,                        582,                    14.553638409602401 , -6             ,   98.9795918367347  ,               13
Random       ,               2.0,    440, CSG-f1   ,                 252,                  250,                  2,       440,                       409,                     1.0,         18,            40,            3999,                        403,                    10.077519379844961 , -6             ,   98.53300733496333 ,                3
Random       ,               2.0,    440, CSG-f2   ,                 244,                  241,                  3,       438,                       366,                     1.0,         18,            40,            3999,                        360,                     9.00225056264066  , -6             ,   98.36065573770492 ,                2
Random       ,               2.0,    440, CGG      ,                 285,                  283,                  2,       440,                       882,                     1.0,         18,            40,            3999,                        872,                    21.80545136284071  , -10            ,   98.86621315192744 ,               13
Random       ,               5.0,   1100, CSG-f1   ,                 487,                  482,                  5,      1099,                      1354,                     1.0,         18,            40,            3999,                       1334,                    33.35833958489622  , -20            ,   98.52289512555392 ,               16
Random       ,               5.0,   1100, CSG-f2   ,                 533,                  527,                  6,      1099,                      1553,                     1.0,         18,            40,            3999,                       1341,                    33.53338334583646  , -212           ,   86.34900193174501 ,               25
Random       ,               5.0,   1100, CGG      ,                 619,                  612,                  7,      1099,                      2519,                     1.0,         18,            40,            3999,                       1864,                    46.611652913228305 , -655           ,   73.9976181024216  ,               38
Random       ,              10.0,   2201, CSG-f1   ,                 869,                  862,                  7,      2196,                      2883,                     1.0,         18,            40,            3999,                       2792,                    69.8174543635909   , -91            ,   96.84356573014222 ,                8
Random       ,              10.0,   2201, CSG-f2   ,                 979,                  970,                  9,      2201,                      3095,                     1.0,         18,            40,            3999,                       2924,                    73.11827956989248  , -171           ,   94.47495961227787 ,               18
Random       ,              10.0,   2201, CGG      ,                 926,                  917,                  9,      2011,                      4039,                     1.0,         18,            40,            3999,                       2977,                    74.44361090272568  , -1062          ,   73.70636296112899 ,               38
Random       ,              20.0,   4402, CSG-f1   ,                1495,                 1481,                 14,      4399,                      4012,                     1.0,         18,            40,            3999,                       3973,                    99.34983745936485  , -39            ,   99.02791625124627 ,                6
Random       ,              20.0,   4402, CSG-f2   ,                1620,                 1605,                 15,      4399,                      3963,                     1.0,         18,            40,            3999,                       3925,                    98.14953738434609  , -38            ,   99.0411304567247  ,                5
Random       ,              20.0,   4402, CGG      ,                 926,                  917,                  9,      2011,                      4039,                     1.0,         18,            40,            3999,                       2977,                    74.44361090272568  , -1062          ,   73.70636296112899 ,               38
Degree       ,               1.0,    892, CSG-f1   ,                 117,                  117,                  0,       888,                       158,                     1.0,         18,            40,            3999,                        158,                     3.9509877469367343, 0              ,  100.0              ,                6
Degree       ,               1.0,    892, CSG-f2   ,                 209,                  203,                  6,       888,                       211,                     1.0,         18,            40,            3999,                        205,                     5.126281570392599 , -6             ,   97.1563981042654  ,                1
Degree       ,               1.0,    892, CGG      ,                 442,                  432,                 10,       891,                       555,                     1.0,         18,            40,            3999,                        540,                    13.50337584396099  , -15            ,   97.2972972972973  ,               14
Degree       ,               2.0,   1784, CSG-f1   ,                 177,                  177,                  0,      1766,                       368,                     1.0,         18,            40,            3999,                        368,                     9.202300575143786 , 0              ,  100.0              ,                6
Degree       ,               2.0,   1784, CSG-f2   ,                 261,                  255,                  6,      1781,                       264,                     1.0,         18,            40,            3999,                        258,                     6.451612903225806 , -6             ,   97.72727272727273 ,                1
Degree       ,               2.0,   1784, CGG      ,                 668,                  656,                 12,      1783,                       899,                     1.0,         18,            40,            3999,                        878,                    21.955488872218055 , -21            ,   97.66407119021135 ,               14
Degree       ,               5.0,   4462, CSG-f1   ,                 287,                  286,                  1,      4462,                       480,                     1.0,         18,            40,            3999,                        479,                    11.977994498624655 , -1             ,   99.79166666666667 ,                6
Degree       ,               5.0,   4462, CSG-f2   ,                 408,                  399,                  9,      4426,                       412,                     1.0,         18,            40,            3999,                        403,                    10.077519379844961 , -9             ,   97.81553398058253 ,                2
Degree       ,               5.0,   4462, CGG      ,                1100,                 1086,                 14,      4456,                      1411,                     1.0,         18,            40,            3999,                       1393,                    34.83370842710677  , -18            ,   98.72430900070871 ,               14
Degree       ,              10.0,   8924, CSG-f1   ,                 448,                  444,                  4,      8910,                       650,                     1.0,         18,            40,            3999,                        647,                    16.179044761190298 , -3             ,   99.53846153846155 ,                6
Degree       ,              10.0,   8924, CSG-f2   ,                 613,                  604,                  9,      8915,                       617,                     1.0,         18,            40,            3999,                        608,                    15.203800950237559 , -9             ,   98.54132901134521 ,                2
Degree       ,              10.0,   8924, CGG      ,                1539,                 1521,                 18,      8919,                      2405,                     1.0,         18,            40,            3999,                       2295,                    57.389347336834206 , -110           ,   95.42619542619542 ,               29
Degree       ,              20.0,  17848, CSG-f1   ,                 849,                  840,                  9,     17836,                      1853,                     1.0,         18,            40,            3999,                       1834,                    45.861465366341584 , -19            ,   98.97463572584996 ,                7
Degree       ,              20.0,  17848, CSG-f2   ,                1075,                 1062,                 13,     17802,                      1081,                     1.0,         18,            40,            3999,                       1068,                    26.70667666916729  , -13            ,   98.79740980573543 ,                2
Degree       ,              20.0,  17848, CGG      ,                1982,                 1959,                 23,     17817,                      3467,                     1.0,         18,            40,            3999,                       3350,                    83.77094273568392  , -117           ,   96.62532448802999 ,               36
Random       ,               1.0,    220, CSG-f1   ,                 146,                  145,                  1,       220,                       293,                     1.0,         19,            40,            3999,                        294,                     7.351837959489872 , 1              ,  100.34129692832765 ,                2
Random       ,               1.0,    220, CSG-f2   ,                 140,                  139,                  1,       219,                       224,                     1.0,         19,            40,            3999,                        223,                     5.576394098524632 , -1             ,   99.55357142857143 ,                2
Random       ,               1.0,    220, CGG      ,                 120,                  120,                  0,       220,                       588,                     1.0,         19,            40,            3999,                        590,                    14.753688422105526 , 2              ,  100.34013605442176 ,               13
Random       ,               2.0,    440, CSG-f1   ,                 252,                  250,                  2,       440,                       409,                     1.0,         19,            40,            3999,                        409,                    10.227556889222306 , 0              ,  100.0              ,                3
Random       ,               2.0,    440, CSG-f2   ,                 244,                  242,                  2,       438,                       366,                     1.0,         19,            40,            3999,                        364,                     9.102275568892223 , -2             ,   99.4535519125683  ,                2
Random       ,               2.0,    440, CGG      ,                 285,                  284,                  1,       440,                       882,                     1.0,         19,            40,            3999,                        857,                    21.43035758939735  , -25            ,   97.1655328798186  ,               13
Random       ,               5.0,   1100, CSG-f1   ,                 487,                  480,                  7,      1099,                      1354,                     1.0,         19,            40,            3999,                       1330,                    33.25831457864466  , -24            ,   98.22747415066469 ,               15
Random       ,               5.0,   1100, CSG-f2   ,                 533,                  526,                  7,      1099,                      1553,                     1.0,         19,            40,            3999,                       1541,                    38.5346336584146   , -12            ,   99.2273019961365  ,               26
Random       ,               5.0,   1100, CGG      ,                 619,                  613,                  6,      1099,                      2519,                     1.0,         19,            40,            3999,                       1767,                    44.18604651162791  , -752           ,   70.1468836840016  ,               26
Random       ,              10.0,   2201, CSG-f1   ,                 869,                  858,                 11,      2196,                      2883,                     1.0,         19,            40,            3999,                       2855,                    71.39284821205301  , -28            ,   99.02878945542838 ,               14
Random       ,              10.0,   2201, CSG-f2   ,                 979,                  969,                 10,      2201,                      3095,                     1.0,         19,            40,            3999,                       3065,                    76.64416104026006  , -30            ,   99.03069466882067 ,               18
Random       ,              10.0,   2201, CGG      ,                 926,                  916,                 10,      2011,                      4039,                     1.0,         19,            40,            3999,                       3558,                    88.9722430607652   , -481           ,   88.0911116613023  ,               46
Random       ,              20.0,   4402, CSG-f1   ,                1495,                 1474,                 21,      4399,                      4012,                     1.0,         19,            40,            3999,                       3972,                    99.32483120780195  , -40            ,   99.00299102691925 ,                7
Random       ,              20.0,   4402, CSG-f2   ,                1620,                 1597,                 23,      4399,                      3963,                     1.0,         19,            40,            3999,                       3923,                    98.0995248812203   , -40            ,   98.99066363865758 ,                5
Random       ,              20.0,   4402, CGG      ,                 926,                  916,                 10,      2011,                      4039,                     1.0,         19,            40,            3999,                       3558,                    88.9722430607652   , -481           ,   88.0911116613023  ,               46
Degree       ,               1.0,    892, CSG-f1   ,                 117,                  116,                  1,       888,                       158,                     1.0,         19,            40,            3999,                        156,                     3.900975243810953 , -2             ,   98.73417721518987 ,                6
Degree       ,               1.0,    892, CSG-f2   ,                 209,                  208,                  1,       888,                       211,                     1.0,         19,            40,            3999,                        210,                     5.251312828207052 , -1             ,   99.52606635071089 ,                1
Degree       ,               1.0,    892, CGG      ,                 442,                  439,                  3,       891,                       555,                     1.0,         19,            40,            3999,                        552,                    13.80345086271568  , -3             ,   99.45945945945947 ,               14
Degree       ,               2.0,   1784, CSG-f1   ,                 177,                  175,                  2,      1766,                       368,                     1.0,         19,            40,            3999,                        365,                     9.127281820455114 , -3             ,   99.18478260869566 ,                6
Degree       ,               2.0,   1784, CSG-f2   ,                 261,                  260,                  1,      1781,                       264,                     1.0,         19,            40,            3999,                        263,                     6.57664416104026  , -1             ,   99.62121212121212 ,                1
Degree       ,               2.0,   1784, CGG      ,                 668,                  662,                  6,      1783,                       899,                     1.0,         19,            40,            3999,                        875,                    21.880470117529384 , -24            ,   97.33036707452726 ,               14
Degree       ,               5.0,   4462, CSG-f1   ,                 287,                  281,                  6,      4462,                       480,                     1.0,         19,            40,            3999,                        473,                    11.827956989247312 , -7             ,   98.54166666666667 ,                6
Degree       ,               5.0,   4462, CSG-f2   ,                 408,                  405,                  3,      4426,                       412,                     1.0,         19,            40,            3999,                        409,                    10.227556889222306 , -3             ,   99.27184466019418 ,                2
Degree       ,               5.0,   4462, CGG      ,                1100,                 1089,                 11,      4456,                      1411,                     1.0,         19,            40,            3999,                       1386,                    34.658664666166544 , -25            ,   98.22820694542878 ,               14
Degree       ,              10.0,   8924, CSG-f1   ,                 448,                  440,                  8,      8910,                       650,                     1.0,         19,            40,            3999,                        642,                    16.054013503375845 , -8             ,   98.76923076923076 ,                6
Degree       ,              10.0,   8924, CSG-f2   ,                 613,                  608,                  5,      8915,                       617,                     1.0,         19,            40,            3999,                        612,                    15.303825956489122 , -5             ,   99.18962722852513 ,                2
Degree       ,              10.0,   8924, CGG      ,                1539,                 1523,                 16,      8919,                      2405,                     1.0,         19,            40,            3999,                       2364,                    59.11477869467367  , -41            ,   98.2952182952183  ,               28
Degree       ,              20.0,  17848, CSG-f1   ,                 849,                  838,                 11,     17836,                      1853,                     1.0,         19,            40,            3999,                       1831,                    45.78644661165291  , -22            ,   98.81273610361576 ,                7
Degree       ,              20.0,  17848, CSG-f2   ,                1075,                 1066,                  9,     17802,                      1081,                     1.0,         19,            40,            3999,                       1072,                    26.806701675418854 , -9             ,   99.16743755781684 ,                2
Degree       ,              20.0,  17848, CGG      ,                1982,                 1963,                 19,     17817,                      3467,                     1.0,         19,            40,            3999,                       3347,                    83.69592398099525  , -120           ,   96.53879434669743 ,               37
Random       ,               1.0,    220, CSG-f1   ,                 146,                  137,                  9,       220,                       293,                     5.0,          0,           201,            3838,                        277,                     7.217300677436164 , -16            ,   94.53924914675767 ,                2
Random       ,               1.0,    220, CSG-f2   ,                 140,                  133,                  7,       219,                       224,                     5.0,          0,           201,            3838,                        215,                     5.601875977071391 , -9             ,   95.98214285714286 ,                2
Random       ,               1.0,    220, CGG      ,                 120,                  116,                  4,       220,                       588,                     5.0,          0,           201,            3838,                        541,                    14.09588327253778  , -47            ,   92.00680272108843 ,               13
Random       ,               2.0,    440, CSG-f1   ,                 252,                  238,                 14,       440,                       409,                     5.0,          0,           201,            3838,                        388,                    10.109431995831162 , -21            ,   94.86552567237165 ,                3
Random       ,               2.0,    440, CSG-f2   ,                 244,                  228,                 16,       438,                       366,                     5.0,          0,           201,            3838,                        343,                     8.936946326211569 , -23            ,   93.71584699453553 ,                2
Random       ,               2.0,    440, CGG      ,                 285,                  274,                 11,       440,                       882,                     5.0,          0,           201,            3838,                        794,                    20.68785825951016  , -88            ,   90.02267573696146 ,               13
Random       ,               5.0,   1100, CSG-f1   ,                 487,                  456,                 31,      1099,                      1354,                     5.0,          0,           201,            3838,                       1259,                    32.803543512245966 , -95            ,   92.9837518463811  ,               19
Random       ,               5.0,   1100, CSG-f2   ,                 533,                  498,                 35,      1099,                      1553,                     5.0,          0,           201,            3838,                        848,                    22.094841063053675 , -705           ,   54.60399227301996 ,                8
Random       ,               5.0,   1100, CGG      ,                 619,                  588,                 31,      1099,                      2519,                     5.0,          0,           201,            3838,                       1622,                    42.26159458051068  , -897           ,   64.39063120285827 ,               18
Random       ,              10.0,   2201, CSG-f1   ,                 869,                  823,                 46,      2196,                      2883,                     5.0,          0,           201,            3838,                       2807,                    73.13705054715997  , -76            ,   97.36385709330558 ,               12
Random       ,              10.0,   2201, CSG-f2   ,                 979,                  927,                 52,      2201,                      3095,                     5.0,          0,           201,            3838,                       2932,                    76.39395518499218  , -163           ,   94.73344103392569 ,               17
Random       ,              10.0,   2201, CGG      ,                 926,                  879,                 47,      2011,                      4039,                     5.0,          0,           201,            3838,                       2695,                    70.21886399166233  , -1344          ,   66.72443674176776 ,               37
Random       ,              20.0,   4402, CSG-f1   ,                1495,                 1427,                 68,      4399,                      4012,                     5.0,          0,           201,            3838,                       3808,                    99.21834288692027  , -204           ,   94.91525423728814 ,                6
Random       ,              20.0,   4402, CSG-f2   ,                1620,                 1547,                 73,      4399,                      3963,                     5.0,          0,           201,            3838,                       3765,                    98.097967691506    , -198           ,   95.00378501135503 ,                5
Random       ,              20.0,   4402, CGG      ,                 926,                  879,                 47,      2011,                      4039,                     5.0,          0,           201,            3838,                       2695,                    70.21886399166233  , -1344          ,   66.72443674176776 ,               37
Degree       ,               1.0,    892, CSG-f1   ,                 117,                  115,                  2,       888,                       158,                     5.0,          0,           201,            3838,                        163,                     4.2470036477331945, 5              ,  103.16455696202532 ,                6
Degree       ,               1.0,    892, CSG-f2   ,                 209,                  196,                 13,       888,                       211,                     5.0,          0,           201,            3838,                        198,                     5.158936946326212 , -13            ,   93.8388625592417  ,                1
Degree       ,               1.0,    892, CGG      ,                 442,                  420,                 22,       891,                       555,                     5.0,          0,           201,            3838,                        524,                    13.6529442417926   , -31            ,   94.41441441441441 ,               14
Degree       ,               2.0,   1784, CSG-f1   ,                 177,                  168,                  9,      1766,                       368,                     5.0,          0,           201,            3838,                        352,                     9.171443460135487 , -16            ,   95.65217391304348 ,                6
Degree       ,               2.0,   1784, CSG-f2   ,                 261,                  247,                 14,      1781,                       264,                     5.0,          0,           201,            3838,                        250,                     6.513809275664409 , -14            ,   94.6969696969697  ,                1
Degree       ,               2.0,   1784, CGG      ,                 668,                  638,                 30,      1783,                       899,                     5.0,          0,           201,            3838,                        815,                    21.235018238665972 , -84            ,   90.65628476084538 ,               14
Degree       ,               5.0,   4462, CSG-f1   ,                 287,                  275,                 12,      4462,                       480,                     5.0,          0,           201,            3838,                        465,                    12.1156852527358   , -15            ,   96.875            ,                6
Degree       ,               5.0,   4462, CSG-f2   ,                 408,                  385,                 23,      4426,                       412,                     5.0,          0,           201,            3838,                        387,                    10.083376758728505 , -25            ,   93.93203883495146 ,                1
Degree       ,               5.0,   4462, CGG      ,                1100,                 1050,                 50,      4456,                      1411,                     5.0,          0,           201,            3838,                       1310,                    34.1323606044815   , -101           ,   92.84195605953225 ,               14
Degree       ,              10.0,   8924, CSG-f1   ,                 448,                  430,                 18,      8910,                       650,                     5.0,          0,           201,            3838,                        631,                    16.440854611776967 , -19            ,   97.07692307692307 ,                6
Degree       ,              10.0,   8924, CSG-f2   ,                 613,                  575,                 38,      8915,                       617,                     5.0,          0,           201,            3838,                        577,                    15.033871808233453 , -40            ,   93.51701782820098 ,                1
Degree       ,              10.0,   8924, CGG      ,                1539,                 1467,                 72,      8919,                      2405,                     5.0,          0,           201,            3838,                       2123,                    55.315268368942164 , -282           ,   88.27442827442827 ,               25
Degree       ,              20.0,  17848, CSG-f1   ,                 849,                  816,                 33,     17836,                      1853,                     5.0,          0,           201,            3838,                       1774,                    46.221990620114646 , -79            ,   95.73664328116568 ,               10
Degree       ,              20.0,  17848, CSG-f2   ,                1075,                 1015,                 60,     17802,                      1081,                     5.0,          0,           201,            3838,                       1019,                    26.550286607608133 , -62            ,   94.26456984273821 ,                1
Degree       ,              20.0,  17848, CGG      ,                1982,                 1885,                 97,     17817,                      3467,                     5.0,          0,           201,            3838,                       2900,                    75.56018759770714  , -567           ,   83.64580328814537 ,               18
Random       ,               1.0,    220, CSG-f1   ,                 146,                  138,                  8,       220,                       293,                     5.0,          1,           201,            3838,                        297,                     7.738405419489318 , 4              ,  101.36518771331058 ,                3
Random       ,               1.0,    220, CSG-f2   ,                 140,                  132,                  8,       219,                       224,                     5.0,          1,           201,            3838,                        229,                     5.966649296508598 , 5              ,  102.23214285714286 ,                3
Random       ,               1.0,    220, CGG      ,                 120,                  116,                  4,       220,                       588,                     5.0,          1,           201,            3838,                        558,                    14.538822303282961 , -30            ,   94.89795918367348 ,                9
Random       ,               2.0,    440, CSG-f1   ,                 252,                  240,                 12,       440,                       409,                     5.0,          1,           201,            3838,                        407,                    10.604481500781656 , -2             ,   99.51100244498777 ,                3
Random       ,               2.0,    440, CSG-f2   ,                 244,                  234,                 10,       438,                       366,                     5.0,          1,           201,            3838,                        367,                     9.562272016675353 , 1              ,  100.27322404371584 ,                3
Random       ,               2.0,    440, CGG      ,                 285,                  270,                 15,       440,                       882,                     5.0,          1,           201,            3838,                        807,                    21.02657634184471  , -75            ,   91.49659863945578 ,                9
Random       ,               5.0,   1100, CSG-f1   ,                 487,                  462,                 25,      1099,                      1354,                     5.0,          1,           201,            3838,                       1299,                    33.84575299635227  , -55            ,   95.93796159527326 ,               16
Random       ,               5.0,   1100, CSG-f2   ,                 533,                  506,                 27,      1099,                      1553,                     5.0,          1,           201,            3838,                       1043,                    27.17561229807191  , -510           ,   67.16033483580168 ,               13
Random       ,               5.0,   1100, CGG      ,                 619,                  582,                 37,      1099,                      2519,                     5.0,          1,           201,            3838,                       1720,                    44.815007816571125 , -799           ,   68.28106391425169 ,               22
Random       ,              10.0,   2201, CSG-f1   ,                 869,                  822,                 47,      2196,                      2883,                     5.0,          1,           201,            3838,                       2786,                    72.58989056800417  , -97            ,   96.63544918487686 ,               17
Random       ,              10.0,   2201, CSG-f2   ,                 979,                  933,                 46,      2201,                      3095,                     5.0,          1,           201,            3838,                       2834,                    73.84054194893174  , -261           ,   91.5670436187399  ,               13
Random       ,              10.0,   2201, CGG      ,                 926,                  875,                 51,      2011,                      4039,                     5.0,          1,           201,            3838,                       2314,                    60.29181865554977  , -1725          ,   57.29140876454568 ,               28
Random       ,              20.0,   4402, CSG-f1   ,                1495,                 1419,                 76,      4399,                      4012,                     5.0,          1,           201,            3838,                       3813,                    99.34861907243356  , -199           ,   95.03988035892323 ,                6
Random       ,              20.0,   4402, CSG-f2   ,                1620,                 1543,                 77,      4399,                      3963,                     5.0,          1,           201,            3838,                       3762,                    98.01980198019803  , -201           ,   94.92808478425435 ,                6
Random       ,              20.0,   4402, CGG      ,                 926,                  875,                 51,      2011,                      4039,                     5.0,          1,           201,            3838,                       2314,                    60.29181865554977  , -1725          ,   57.29140876454568 ,               28
Degree       ,               1.0,    892, CSG-f1   ,                 117,                  108,                  9,       888,                       158,                     5.0,          1,           201,            3838,                        147,                     3.8301198540906722, -11            ,   93.0379746835443  ,                5
Degree       ,               1.0,    892, CSG-f2   ,                 209,                  200,                  9,       888,                       211,                     5.0,          1,           201,            3838,                        203,                     5.2892131318395   , -8             ,   96.2085308056872  ,                1
Degree       ,               1.0,    892, CGG      ,                 442,                  418,                 24,       891,                       555,                     5.0,          1,           201,            3838,                        523,                    13.626889004689943 , -32            ,   94.23423423423424 ,               10
Degree       ,               2.0,   1784, CSG-f1   ,                 177,                  167,                 10,      1766,                       368,                     5.0,          1,           201,            3838,                        351,                     9.14538822303283  , -17            ,   95.38043478260869 ,                6
Degree       ,               2.0,   1784, CSG-f2   ,                 261,                  252,                  9,      1781,                       264,                     5.0,          1,           201,            3838,                        256,                     6.6701406982803535, -8             ,   96.96969696969697 ,                1
Degree       ,               2.0,   1784, CGG      ,                 668,                  632,                 36,      1783,                       899,                     5.0,          1,           201,            3838,                        827,                    21.547681083897864 , -72            ,   91.99110122358177 ,               10
Degree       ,               5.0,   4462, CSG-f1   ,                 287,                  273,                 14,      4462,                       480,                     5.0,          1,           201,            3838,                        459,                    11.959353830119854 , -21            ,   95.625            ,                6
Degree       ,               5.0,   4462, CSG-f2   ,                 408,                  390,                 18,      4426,                       412,                     5.0,          1,           201,            3838,                        395,                    10.291818655549765 , -17            ,   95.87378640776699 ,                2
Degree       ,               5.0,   4462, CGG      ,                1100,                 1046,                 54,      4456,                      1411,                     5.0,          1,           201,            3838,                       1302,                    33.92391870766024  , -109           ,   92.27498228206944 ,               10
Degree       ,              10.0,   8924, CSG-f1   ,                 448,                  428,                 20,      8910,                       650,                     5.0,          1,           201,            3838,                        623,                    16.232412714955707 , -27            ,   95.84615384615385 ,                6
Degree       ,              10.0,   8924, CSG-f2   ,                 613,                  589,                 24,      8915,                       617,                     5.0,          1,           201,            3838,                        594,                    15.476810838978636 , -23            ,   96.27228525121556 ,                2
Degree       ,              10.0,   8924, CGG      ,                1539,                 1467,                 72,      8919,                      2405,                     5.0,          1,           201,            3838,                       1976,                    51.48514851485149  , -429           ,   82.16216216216216 ,               15
Degree       ,              20.0,  17848, CSG-f1   ,                 849,                  808,                 41,     17836,                      1853,                     5.0,          1,           201,            3838,                       1774,                    46.221990620114646 , -79            ,   95.73664328116568 ,                9
Degree       ,              20.0,  17848, CSG-f2   ,                1075,                 1032,                 43,     17802,                      1081,                     5.0,          1,           201,            3838,                       1039,                    27.071391349661283 , -42            ,   96.11470860314523 ,                2
Degree       ,              20.0,  17848, CGG      ,                1982,                 1884,                 98,     17817,                      3467,                     5.0,          1,           201,            3838,                       2886,                    75.19541427826994  , -581           ,   83.24199596192673 ,               28
Random       ,               1.0,    220, CSG-f1   ,                 146,                  137,                  9,       220,                       293,                     5.0,          2,           201,            3838,                        300,                     7.816571130797289 , 7              ,  102.3890784982935  ,                5
Random       ,               1.0,    220, CSG-f2   ,                 140,                  131,                  9,       219,                       224,                     5.0,          2,           201,            3838,                        224,                     5.83637311099531  , 0              ,  100.0              ,                2
Random       ,               1.0,    220, CGG      ,                 120,                  116,                  4,       220,                       588,                     5.0,          2,           201,            3838,                        537,                    13.99166232412715  , -51            ,   91.3265306122449  ,                9
Random       ,               2.0,    440, CSG-f1   ,                 252,                  239,                 13,       440,                       409,                     5.0,          2,           201,            3838,                        412,                    10.734757686294945 , 3              ,  100.73349633251834 ,                5
