cost_function, budget_percentage, algorithm, node_removal_percentage, mean_influenced_nodes, std_influenced_nodes, mean_surviving_seed_count, std_surviving_seed_count, baseline_influenced_nodes
Random       ,               2.0, CSG-f1   ,                     5.0,                400.75,   9.346403755343268 ,                    241.25,       3.6255671062752772,                       409
Random       ,               2.0, CSG-f1   ,                    10.0,                381.6 ,  20.371290427565224 ,                    228.1 ,       5.476264573978369 ,                       409
Random       ,               2.0, CSG-f1   ,                    20.0,                356.0 ,  25.22738695607571  ,                    204.4 ,       6.260990336999413 ,                       409
Random       ,               2.0, CSG-f2   ,                     1.0,                363.75,   3.160196529531536 ,                    241.55,       1.3945382182304205,                       366
Random       ,               2.0, CSG-f2   ,                     5.0,                358.4 ,   8.86981872478386  ,                    233.1 ,       3.9722723180090567,                       366
Random       ,               2.0, CSG-f2   ,                    10.0,                340.15,  21.798780748135044 ,                    220.3 ,       5.777451632720177 ,                       366
Random       ,               2.0, CSG-f2   ,                    20.0,                317.35,  25.062605820750484 ,                    197.8 ,       6.802476329288203 ,                       366
Random       ,               5.0, CGG      ,                     1.0,               1992.5 , 228.8197405911704   ,                    612.6 ,       2.303315687849749 ,                      2519
Random       ,               5.0, CGG      ,                     5.0,               1621.2 , 153.31687173267898  ,                    587.5 ,       5.266577836248421 ,                      2519
Random       ,               5.0, CGG      ,                    10.0,               1475.3 , 216.21507323666597  ,                    557.0 ,       6.6806870116305   ,                      2519
Random       ,               5.0, CGG      ,                    20.0,               1280.3 , 191.69358773560305  ,                    494.6 ,       9.461278427024762 ,                      2519
Random       ,               5.0, CSG-f1   ,                     1.0,               1347.35,  37.617570082972755 ,                    481.65,       1.7851728502481754,                      1354
Random       ,               5.0, CSG-f1   ,                     5.0,               1278.4 , 100.04546334962973  ,                    463.9 ,       3.8099592482970457,                      1354
Random       ,               5.0, CSG-f1   ,                    10.0,               1214.65, 121.68781238978106  ,                    439.15,       6.07215387087473  ,                      1354
Random       ,               5.0, CSG-f1   ,                    20.0,               1092.05, 110.02079946896168  ,                    392.85,      10.317460927960914 ,                      1354
Random       ,               5.0, CSG-f2   ,                     1.0,               1479.85,  89.60631732898726  ,                    527.3 ,       1.4903196407411907,                      1553
Random       ,               5.0, CSG-f2   ,                     5.0,               1280.1 , 155.96521204557462  ,                    506.8 ,       4.926833081252732 ,                      1553
Random       ,               5.0, CSG-f2   ,                    10.0,               1153.85, 202.41470588347758  ,                    479.35,       7.292930968085685 ,                      1553
Random       ,               5.0, CSG-f2   ,                    20.0,               1049.1 , 175.06807698420454  ,                    427.6 ,      10.449880382090507 ,                      1553
Random       ,              10.0, CGG      ,                     1.0,               3320.1 , 413.65239666072017  ,                    917.3 ,       2.386364775575014 ,                      4039
Random       ,              10.0, CGG      ,                     5.0,               2703.0 , 332.5317555077299   ,                    880.0 ,       6.529286250990107 ,                      4039
Random       ,              10.0, CGG      ,                    10.0,               2429.1 , 273.49144122084095  ,                    834.5 ,       7.272876792721382 ,                      4039
Random       ,              10.0, CGG      ,                    20.0,               2035.75, 379.61710279812485  ,                    743.75,      10.212865982619544 ,                      4039
Random       ,              10.0, CSG-f1   ,                     1.0,               2883.45,  56.7770107294179   ,                    860.85,       2.3232237130876188,                      2883
Random       ,              10.0, CSG-f1   ,                     5.0,               2798.5 ,  64.98785311603687  ,                    826.35,       4.997631017739676 ,                      2883
Random       ,              10.0, CSG-f1   ,                    10.0,               2624.8 ,  68.37250909539594  ,                    784.2 ,       5.899152481501049 ,                      2883
