cost_function, budget_percentage, budget, algorithm, seed_count, seed_cost, baseline_influenced_nodes, baseline_influence_percentage, edge_removal_percentage, repetition, removed_edges, perturbed_influenced_nodes, perturbed_influence_percentage, delta_influence, retention_percentage, perturbed_rounds
Random       ,              10.0,   2201, CSG-f1   ,        869,      2196,                      2883,            71.37905422134192 ,                     1.0,          2,           882,                       2967,            73.45877692498142  , 84             ,  102.91363163371487 ,               19
Random       ,              10.0,   2201, CSG-f2   ,        979,      2201,                      3095,            76.62787818767022 ,                     1.0,          2,           882,                       3105,            76.87546422381779  , 10             ,  100.32310177705976 ,               18
Random       ,              10.0,   2201, CGG      ,        926,      2011,                      4039,           100.0              ,                     1.0,          2,           882,                       3719,            92.07724684327803  , -320           ,   92.07724684327803 ,               50
Random       ,              20.0,   4402, CSG-f1   ,       1495,      4399,                      4012,            99.33151770240158 ,                     1.0,          2,           882,                       4012,            99.33151770240158  , 0              ,  100.0              ,                6
Random       ,              20.0,   4402, CSG-f2   ,       1620,      4399,                      3963,            98.11834612527853 ,                     1.0,          2,           882,                       3963,            98.11834612527853  , 0              ,  100.0              ,                5
Random       ,              20.0,   4402, CGG      ,        926,      2011,                      4039,           100.0              ,                     1.0,          2,           882,                       3719,            92.07724684327803  , -320           ,   92.07724684327803 ,               50
Degree       ,               1.0,    892, CSG-f1   ,        117,       888,                       158,             3.911859371131468,                     1.0,          2,           882,                        158,             3.911859371131468 , 0              ,  100.0              ,                5
Degree       ,               1.0,    892, CSG-f2   ,        209,       888,                       211,             5.224065362713543,                     1.0,          2,           882,                        211,             5.224065362713543 , 0              ,  100.0              ,                1
Degree       ,               1.0,    892, CGG      ,        442,       891,                       555,            13.74102500618965 ,                     1.0,          2,           882,                        555,            13.74102500618965  , 0              ,  100.0              ,               14
Degree       ,               2.0,   1784, CSG-f1   ,        177,      1766,                       368,             9.111166130230256,                     1.0,          2,           882,                        374,             9.259717751918792 , 6              ,  101.63043478260869 ,                6
Degree       ,               2.0,   1784, CSG-f2   ,        261,      1781,                       264,             6.536271354295618,                     1.0,          2,           882,                        264,             6.536271354295618 , 0              ,  100.0              ,                1
Degree       ,               2.0,   1784, CGG      ,        668,      1783,                       899,            22.25798464966576 ,                     1.0,          2,           882,                        895,            22.158950235206735 , -4             ,   99.55506117908787 ,               14
Degree       ,               5.0,   4462, CSG-f1   ,        287,      4462,                       480,            11.884129735082942,                     1.0,          2,           882,                        486,            12.032681356771478 , 6              ,  101.25             ,                6
Degree       ,               5.0,   4462, CSG-f2   ,        408,      4426,                       412,            10.200544689279525,                     1.0,          2,           882,                        412,            10.200544689279525 , 0              ,  100.0              ,                2
Degree       ,               5.0,   4462, CGG      ,       1100,      4456,                      1411,            34.9343897004209  ,                     1.0,          2,           882,                       1411,            34.9343897004209   , 0              ,  100.0              ,               14
Degree       ,              10.0,   8924, CSG-f1   ,        448,      8910,                       650,            16.093092349591483,                     1.0,          2,           882,                        658,            16.291161178509533 , 8              ,  101.23076923076924 ,                6
Degree       ,              10.0,   8924, CSG-f2   ,        613,      8915,                       617,            15.276058430304532,                     1.0,          2,           882,                        617,            15.276058430304532 , 0              ,  100.0              ,                2
Degree       ,              10.0,   8924, CGG      ,       1539,      8919,                      2405,            59.544441693488494,                     1.0,          2,           882,                       2328,            57.638029215152265 , -77            ,   96.7983367983368  ,               19
Degree       ,              20.0,  17848, CSG-f1   ,        849,     17836,                      1853,            45.877692498143105,                     1.0,          2,           882,                       1859,            46.026244119831645 , 6              ,  100.32379924446843 ,                7
Degree       ,              20.0,  17848, CSG-f2   ,       1075,     17802,                      1081,            26.764050507551374,                     1.0,          2,           882,                       1081,            26.764050507551374 , 0              ,  100.0              ,                2
Degree       ,              20.0,  17848, CGG      ,       1982,     17817,                      3467,            85.83807873235949 ,                     1.0,          2,           882,                       3331,            82.47090864075265  , -136           ,   96.07730025959043 ,               24
Random       ,               1.0,    220, CSG-f1   ,        146,       220,                       293,             7.254270859123546,                     1.0,          3,           882,                        296,             7.328546669967814 , 3              ,  101.02389078498292 ,                2
Random       ,               1.0,    220, CSG-f2   ,        140,       219,                       224,             5.545927209705372,                     1.0,          3,           882,                        224,             5.545927209705372 , 0              ,  100.0              ,                2
Random       ,               1.0,    220, CGG      ,        120,       220,                       588,            14.558058925476603,                     1.0,          3,           882,                        559,            13.840059420648675 , -29            ,   95.06802721088435 ,               13
Random       ,               2.0,    440, CSG-f1   ,        252,       440,                       409,            10.126268878435257,                     1.0,          3,           882,                        412,            10.200544689279525 , 3              ,  100.73349633251834 ,                3
Random       ,               2.0,    440, CSG-f2   ,        244,       438,                       366,             9.061648923000742,                     1.0,          3,           882,                        365,             9.036890319385988 , -1             ,   99.72677595628416 ,                2
